Range(m),Elevation(degrees),Azimuth(degrees),Reflectivity,Time Stamp(s),Latitude,Longitude,Time Stamp(s)
9.272000000000000242e+00,1.000000000000000000e+00,2.695881249999999909e+02,2.100000000000000000e+01,2.453166530999999850e+03,3.410641216666666509e+01,-1.177120306666666636e+02,2.453257142999999814e+03
9.275999999999999801e+00,1.000000000000000000e+00,2.697831249999999841e+02,2.100000000000000000e+01,2.453166530999999850e+03,3.410641216666666509e+01,-1.177120306666666636e+02,2.453257142999999814e+03
9.278000000000000469e+00,1.000000000000000000e+00,2.701381250000000023e+02,1.900000000000000000e+01,2.454266701000000012e+03,3.410641166666666635e+01,-1.177120313333333286e+02,2.454344943000000058e+03
9.279999999999999361e+00,1.000000000000000000e+00,2.703331249999999955e+02,2.200000000000000000e+01,2.454266701000000012e+03,3.410641166666666635e+01,-1.177120313333333286e+02,2.454344943000000058e+03
9.266000000000000014e+00,1.000000000000000000e+00,2.698883333333333212e+02,1.900000000000000000e+01,2.454566627000000153e+03,3.410641166666666635e+01,-1.177120313333333286e+02,2.454643000000000029e+03
9.268000000000000682e+00,1.000000000000000000e+00,2.700883333333333098e+02,1.700000000000000000e+01,2.454566627000000153e+03,3.410641166666666635e+01,-1.177120313333333286e+02,2.454643000000000029e+03
9.282000000000000028e+00,1.000000000000000000e+00,2.699079166666666652e+02,1.900000000000000000e+01,2.454866551999999956e+03,3.410641166666666635e+01,-1.177120313333333286e+02,2.455079542999999830e+03
9.282000000000000028e+00,1.000000000000000000e+00,2.700979166666666629e+02,1.900000000000000000e+01,2.454866551999999956e+03,3.410641166666666635e+01,-1.177120313333333286e+02,2.455079542999999830e+03
9.278000000000000469e+00,1.000000000000000000e+00,2.704779166666667152e+02,1.900000000000000000e+01,2.455666795999999977e+03,3.410641133333333386e+01,-1.177120318333333273e+02,2.455742013999999926e+03
9.262000000000000455e+00,1.000000000000000000e+00,2.706679166666667129e+02,8.500000000000000000e+01,2.455666795999999977e+03,3.410641133333333386e+01,-1.177120318333333273e+02,2.455742013999999926e+03
9.284000000000000696e+00,1.000000000000000000e+00,2.702583333333333258e+02,2.100000000000000000e+01,2.456266647999999805e+03,3.410641066666666887e+01,-1.177120325000000065e+02,2.456346889999999803e+03
9.273999999999999133e+00,1.000000000000000000e+00,2.704583333333333144e+02,1.900000000000000000e+01,2.456266647999999805e+03,3.410641066666666887e+01,-1.177120325000000065e+02,2.456346889999999803e+03
9.284000000000000696e+00,1.000000000000000000e+00,2.697981250000000273e+02,2.100000000000000000e+01,2.456566573000000062e+03,3.410641066666666887e+01,-1.177120325000000065e+02,2.456645407999999861e+03
9.279999999999999361e+00,1.000000000000000000e+00,2.699931250000000205e+02,1.900000000000000000e+01,2.456566573000000062e+03,3.410641066666666887e+01,-1.177120325000000065e+02,2.456645407999999861e+03
9.272000000000000242e+00,1.000000000000000000e+00,2.695285416666666265e+02,2.200000000000000000e+01,2.456866499000000204e+03,3.410641066666666887e+01,-1.177120325000000065e+02,2.456933317999999872e+03
9.285999999999999588e+00,1.000000000000000000e+00,2.697335416666666674e+02,2.100000000000000000e+01,2.456866499000000204e+03,3.410641066666666887e+01,-1.177120325000000065e+02,2.456933317999999872e+03
9.275999999999999801e+00,1.000000000000000000e+00,2.701179166666667015e+02,1.900000000000000000e+01,2.457666743000000224e+03,3.410640999999999678e+01,-1.177120330000000052e+02,2.457742305000000215e+03
9.268000000000000682e+00,1.000000000000000000e+00,2.703079166666666993e+02,2.200000000000000000e+01,2.457666743000000224e+03,3.410640999999999678e+01,-1.177120330000000052e+02,2.457742305000000215e+03
9.282000000000000028e+00,1.000000000000000000e+00,2.699181250000000318e+02,1.900000000000000000e+01,2.457966668999999911e+03,3.410640999999999678e+01,-1.177120330000000052e+02,2.458055829999999787e+03
9.284000000000000696e+00,1.000000000000000000e+00,2.701131250000000250e+02,1.700000000000000000e+01,2.457966668999999911e+03,3.410640999999999678e+01,-1.177120330000000052e+02,2.458055829999999787e+03
9.268000000000000682e+00,1.000000000000000000e+00,2.695783333333333189e+02,2.100000000000000000e+01,2.458566519999999855e+03,3.410640933333333180e+01,-1.177120336666666702e+02,2.458650423000000046e+03
9.275999999999999801e+00,1.000000000000000000e+00,2.697783333333333644e+02,2.100000000000000000e+01,2.458566519999999855e+03,3.410640933333333180e+01,-1.177120336666666702e+02,2.458650423000000046e+03
9.288000000000000256e+00,1.000000000000000000e+00,2.702983333333333462e+02,2.100000000000000000e+01,2.459666690000000017e+03,3.410640933333333180e+01,-1.177120341666666690e+02,2.459744233999999778e+03
9.298000000000000043e+00,1.000000000000000000e+00,2.704983333333333348e+02,1.900000000000000000e+01,2.459666690000000017e+03,3.410640933333333180e+01,-1.177120341666666690e+02,2.459744233999999778e+03
9.279999999999999361e+00,1.000000000000000000e+00,2.699983333333333348e+02,1.700000000000000000e+01,2.459966614999999820e+03,3.410640933333333180e+01,-1.177120341666666690e+02,2.460053679000000102e+03
9.282000000000000028e+00,1.000000000000000000e+00,2.701983333333333235e+02,2.100000000000000000e+01,2.459966614999999820e+03,3.410640933333333180e+01,-1.177120341666666690e+02,2.460053679000000102e+03
9.268000000000000682e+00,1.000000000000000000e+00,2.695281249999999886e+02,2.200000000000000000e+01,2.460266540999999961e+03,3.410640899999999931e+01,-1.177120348333333339e+02,2.460351952999999867e+03
9.269999999999999574e+00,1.000000000000000000e+00,2.697231249999999818e+02,2.100000000000000000e+01,2.460266540999999961e+03,3.410640899999999931e+01,-1.177120348333333339e+02,2.460351952999999867e+03
9.273999999999999133e+00,1.000000000000000000e+00,2.703081250000000182e+02,2.100000000000000000e+01,2.461366709999999784e+03,3.410640850000000057e+01,-1.177120356666666652e+02,2.461453144999999950e+03
9.289999999999999147e+00,1.000000000000000000e+00,2.705031250000000114e+02,1.900000000000000000e+01,2.461366709999999784e+03,3.410640850000000057e+01,-1.177120356666666652e+02,2.461453144999999950e+03
9.279999999999999361e+00,1.000000000000000000e+00,2.705081250000000068e+02,1.900000000000000000e+01,2.461666635999999926e+03,3.410640850000000057e+01,-1.177120356666666652e+02,2.461750366000000213e+03
9.257999999999999119e+00,1.000000000000000000e+00,2.707031250000000000e+02,8.500000000000000000e+01,2.461666635999999926e+03,3.410640850000000057e+01,-1.177120356666666652e+02,2.461750366000000213e+03
9.282000000000000028e+00,1.000000000000000000e+00,2.696679166666667129e+02,1.900000000000000000e+01,2.461966562000000067e+03,3.410640850000000057e+01,-1.177120356666666652e+02,2.462045286000000033e+03
9.269999999999999574e+00,1.000000000000000000e+00,2.698579166666667106e+02,1.900000000000000000e+01,2.461966562000000067e+03,3.410640850000000057e+01,-1.177120356666666652e+02,2.462045286000000033e+03
9.285999999999999588e+00,1.000000000000000000e+00,2.703279166666666811e+02,2.200000000000000000e+01,2.462766806000000088e+03,3.410640766666666934e+01,-1.177120366666666627e+02,2.462843670000000202e+03
9.285999999999999588e+00,1.000000000000000000e+00,2.705179166666666788e+02,1.900000000000000000e+01,2.462766806000000088e+03,3.410640766666666934e+01,-1.177120366666666627e+02,2.462843670000000202e+03
9.275999999999999801e+00,1.000000000000000000e+00,2.702283333333333530e+02,2.100000000000000000e+01,2.463066731999999774e+03,3.410640766666666934e+01,-1.177120366666666627e+02,2.463141532999999981e+03
