Range(m),Elevation(degrees),Azimuth(degrees),Reflectivity,Time Stamp(s),Latitude,Longitude,Time Stamp(s)
1.322799999999999976e+01,1.000000000000000000e+00,9.042833333333334167e+01,2.500000000000000000e+01,2.104116799999999785e+03,3.410641033333333638e+01,-1.177119909999999976e+02,2.104175468999999794e+03
1.324000000000000021e+01,1.000000000000000000e+00,9.062833333333333030e+01,2.100000000000000000e+01,2.104116799999999785e+03,3.410641033333333638e+01,-1.177119909999999976e+02,2.104175468999999794e+03
1.297199999999999953e+01,1.000000000000000000e+00,9.004833333333334622e+01,4.000000000000000000e+01,2.104416725000000042e+03,3.410641033333333638e+01,-1.177119909999999976e+02,2.104493806999999833e+03
1.321799999999999997e+01,1.000000000000000000e+00,9.024833333333333485e+01,2.500000000000000000e+01,2.104416725000000042e+03,3.410641033333333638e+01,-1.177119909999999976e+02,2.104493806999999833e+03
1.289400000000000013e+01,1.000000000000000000e+00,8.984833333333334338e+01,1.000000000000000000e+02,2.105316502000000128e+03,3.410641066666666887e+01,-1.177119911666666638e+02,2.105387751000000208e+03
1.295599999999999952e+01,1.000000000000000000e+00,9.004833333333333201e+01,4.000000000000000000e+01,2.105316502000000128e+03,3.410641066666666887e+01,-1.177119911666666638e+02,2.105387751000000208e+03
1.260200000000000031e+01,1.000000000000000000e+00,8.952833333333333599e+01,9.100000000000000000e+01,2.106716597000000093e+03,3.410641066666666887e+01,-1.177119913333333301e+02,2.106793102000000090e+03
1.269200000000000017e+01,1.000000000000000000e+00,8.972833333333333883e+01,1.000000000000000000e+02,2.106716597000000093e+03,3.410641066666666887e+01,-1.177119913333333301e+02,2.106793102000000090e+03
1.289400000000000013e+01,1.000000000000000000e+00,8.987791666666666401e+01,1.000000000000000000e+02,2.107016522999999779e+03,3.410641066666666887e+01,-1.177119913333333301e+02,2.107101422000000184e+03
1.299200000000000088e+01,1.000000000000000000e+00,9.006791666666666174e+01,3.600000000000000000e+01,2.107016522999999779e+03,3.410641066666666887e+01,-1.177119913333333301e+02,2.107101422000000184e+03
1.260599999999999987e+01,1.000000000000000000e+00,8.963833333333333542e+01,9.900000000000000000e+01,2.107916299999999865e+03,3.410641066666666887e+01,-1.177119914999999963e+02,2.107997999000000164e+03
1.288000000000000078e+01,1.000000000000000000e+00,8.983833333333333826e+01,1.000000000000000000e+02,2.107916299999999865e+03,3.410641066666666887e+01,-1.177119914999999963e+02,2.107997999000000164e+03
1.322799999999999976e+01,1.000000000000000000e+00,9.020812500000000966e+01,2.100000000000000000e+01,2.108416618000000199e+03,3.410641100000000137e+01,-1.177119916666666626e+02,2.108487651999999798e+03
1.323600000000000065e+01,1.000000000000000000e+00,9.040312500000000284e+01,2.500000000000000000e+01,2.108416618000000199e+03,3.410641100000000137e+01,-1.177119916666666626e+02,2.108487651999999798e+03
1.323000000000000043e+01,1.000000000000000000e+00,9.033833333333333826e+01,2.300000000000000000e+01,2.108916936999999962e+03,3.410641100000000137e+01,-1.177119916666666626e+02,2.108986742000000049e+03
1.323000000000000043e+01,1.000000000000000000e+00,9.053833333333334110e+01,2.300000000000000000e+01,2.108916936999999962e+03,3.410641100000000137e+01,-1.177119916666666626e+02,2.108986742000000049e+03
1.323399999999999999e+01,1.000000000000000000e+00,9.043833333333334679e+01,2.500000000000000000e+01,2.109516787999999906e+03,3.410641133333333386e+01,-1.177119923333333276e+02,2.109594242000000122e+03
1.324399999999999977e+01,1.000000000000000000e+00,9.063833333333333542e+01,2.100000000000000000e+01,2.109516787999999906e+03,3.410641133333333386e+01,-1.177119923333333276e+02,2.109594242000000122e+03
1.322600000000000087e+01,1.000000000000000000e+00,9.042854166666667481e+01,2.500000000000000000e+01,2.109816714000000047e+03,3.410641133333333386e+01,-1.177119923333333276e+02,2.109892006000000038e+03
1.323799999999999955e+01,1.000000000000000000e+00,9.063354166666667311e+01,2.100000000000000000e+01,2.109816714000000047e+03,3.410641133333333386e+01,-1.177119923333333276e+02,2.109892006000000038e+03
1.293399999999999928e+01,1.000000000000000000e+00,9.002833333333333599e+01,5.500000000000000000e+01,2.110416564999999991e+03,3.410641166666666635e+01,-1.177119928333333263e+02,2.110488107000000127e+03
1.322000000000000064e+01,1.000000000000000000e+00,9.022833333333333883e+01,2.300000000000000000e+01,2.110416564999999991e+03,3.410641166666666635e+01,-1.177119928333333263e+02,2.110488107000000127e+03
1.291000000000000014e+01,1.000000000000000000e+00,8.996812500000000057e+01,9.900000000000000000e+01,2.110716491000000133e+03,3.410641166666666635e+01,-1.177119928333333263e+02,2.110797341999999844e+03
1.320800000000000018e+01,1.000000000000000000e+00,9.016312499999999375e+01,1.900000000000000000e+01,2.110716491000000133e+03,3.410641166666666635e+01,-1.177119928333333263e+02,2.110797341999999844e+03
1.298000000000000043e+01,1.000000000000000000e+00,9.006791666666666174e+01,4.000000000000000000e+01,2.111216809000000012e+03,3.410641216666666509e+01,-1.177119933333333393e+02,2.111298329000000194e+03
1.323000000000000043e+01,1.000000000000000000e+00,9.025791666666665947e+01,2.500000000000000000e+01,2.111216809000000012e+03,3.410641216666666509e+01,-1.177119933333333393e+02,2.111298329000000194e+03
1.282799999999999940e+01,1.000000000000000000e+00,8.978833333333334110e+01,1.000000000000000000e+02,2.111816659999999956e+03,3.410641216666666509e+01,-1.177119933333333393e+02,2.111894056999999975e+03
1.289600000000000080e+01,1.000000000000000000e+00,8.998833333333334394e+01,9.300000000000000000e+01,2.111816659999999956e+03,3.410641216666666509e+01,-1.177119933333333393e+02,2.111894056999999975e+03
1.291399999999999970e+01,1.000000000000000000e+00,8.995812500000000966e+01,9.700000000000000000e+01,2.112116586000000098e+03,3.410641249999999758e+01,-1.177119940000000042e+02,2.112192721999999776e+03
1.320400000000000063e+01,1.000000000000000000e+00,9.015312500000000284e+01,1.900000000000000000e+01,2.112116586000000098e+03,3.410641249999999758e+01,-1.177119940000000042e+02,2.112192721999999776e+03
1.263199999999999967e+01,1.000000000000000000e+00,8.970833333333334281e+01,1.000000000000000000e+02,2.112416510999999900e+03,3.410641249999999758e+01,-1.177119940000000042e+02,2.112490621999999803e+03
1.291000000000000014e+01,1.000000000000000000e+00,8.990833333333333144e+01,9.700000000000000000e+01,2.112416510999999900e+03,3.410641249999999758e+01,-1.177119940000000042e+02,2.112490621999999803e+03
